behavior_id,behavior_name,behavior_description,behavior_why
SB052,Clears browser cookies to protect against misuse,"Clearing browser cookies to protect against misuse means deleting stored data that websites use to remember logins, preferences, or track activity. This is often done manually, but many browsers also offer settings to automatically clear cookies when the browser is closed.","Cookies can store sensitive data like login sessions and browsing activity. If left uncleared, they can be misused for tracking or session hijacking, especially on shared devices or after visiting untrusted sites. Regularly clearing cookies helps protect privacy, limit data exposure, and reduce the risk of unauthorized access to accounts."
SB055,Reads and agrees to organizational security policies,"Reading and agreeing to organizational security policies involves an individual carefully studying the company's documented security rules, procedures, and employee responsibilities regarding information and system security. This process typically concludes with a formal acknowledgment (such as a digital confirmation or signature) signifying their understanding and acceptance of these mandatory guidelines.","Organizational security policies define each individual's role in protecting company information and systems. By reading and formally agreeing to these policies, employees become aware of expected secure behaviors, understand what constitutes misuse, and learn how to prevent actions that could lead to security incidents or data breaches. This informed agreement supports a security-aware culture, promotes consistent practices, and helps establish accountability across the organization."
SB056,"Reports a security policy, procedure, or control that hinders work or leads to unsafe practices","Reporting a security policy, procedure, or control that hinders work or leads to unsafe practices involves notifying the appropriate department (e.g., manager, security team) when a security rule obstructs essential work or necessitates unsafe workarounds, like bypassing controls. This proactive feedback helps the organization identify and improve security measures that are impractical or counterproductive.","Security measures hindering essential work tasks often encourage individuals to find unsafe workarounds, which can create more risk than the original control prevented. If these are not reported, the organization may have a false sense of security while hidden risks persist. Reporting these issues provides vital feedback, enabling the organization to develop security solutions that are both effective and workable in practice."
SB058,Checks a website for signs of deception,Checking a website for signs of deception means an individual actively inspecting various elements of a website to determine if it is legitimate or potentially fraudulent or malicious before interacting with it or trusting it with information.,"Malicious websites are designed to convincingly impersonate legitimate businesses, services, or organizations, often aiming to steal login credentials, financial details, or spread malware. These deceptive sites may even display a padlock icon (HTTPS) to appear secure, tricking individuals into a false sense of safety, even though the site is controlled by attackers. Failing to identify these signs of deception can lead to severe consequences, including account takeovers, identity theft, financial loss, or malware infections, impacting both personal and organizational security."
SB059,Uses bookmarks to access frequently used websites,"Using bookmarks to access frequently used websites involves saving the correct and legitimate web address (URL) of a site one often visits and trusts, and using saved bookmarks as the primary method for returning a website, instead of manually typing the URL or clicking on links from messages.","Typing web addresses manually or clicking links in digital messages (e.g., email) can lead to malicious ""typosquatting"" or deceptive phishing sites. These fake websites are often made to look identical to their legitimate counterparts, are registered under a similar domain, and are designed to steal credentials, trick individuals into downloading malware, or infect browsers with harmful scripts. Using bookmarks for known, trusted destinations creates a direct path to the correct websites, significantly reducing these risks of misdirection."
SB061,Backs up data ,"Backing up data (either manually or by enabling automatic backups) means copying important digital files and storing in a separate safe location, usually on the internet (e.g., approved cloud services), or on removable media (e.g., external hard drive).","Data can be lost, locked, or corrupted due to device failure, accidental deletion, malware attacks (e.g., ransomware), or physical events (e.g., device theft). Without backups, such incidents can lead to the permanent loss of critical data, resulting in significant operational disruption, financial costs, and potential reputational damage."
SB069,Reports a lost or stolen device ,"Reporting a lost or stolen device means immediately informing the appropriate department at the workplace as soon as an individual becomes aware that a device used for work purposes is missing, whether due to accidental loss or suspected theft.","Not reporting lost or stolen devices promptly can give unauthorized individuals a critical window to access confidential information, misuse accounts, or penetrate organizational networks. Timely reporting is crucial because it allows security teams to rapidly deploy protective measures that reduce the potential for data breach, financial loss, and reputational damage."
SB070,Reviews security and privacy settings for an account or application,"Reviewing security and privacy settings for an account or application involves examining settings related to data visibility (e.g., profile information), permissions granted to applications (e.g., access to device features like location or contacts), connections to third-party services, and overall account security configurations, to prevent unintended data exposure.","Some applications and online services request information from devices for use. If these permissions, privacy and security settings aren't reviewed, unintentional oversharing of data can occur. This exposed data can assist in attacks against individuals or their organizations."
SB074,Uses private browsing on a shared device,"Using private browsing on a shared device means using a browser's private or incognito mode to prevent web activity from being saved. When all private windows are closed, browsing history, cookies, and temporary files from that session are automatically deleted, preventing others from seeing them.","Shared devices retain data like browsing history, login cookies, and cached information. If not manually cleared, this can expose online activity or leave accounts accessible to others. Private browsing mode helps prevent this by automatically deleting session data when the window is closed, protecting both personal and work-related information."
SB075,Requests removal of sensitive information posted online without consent,"Requesting removal of sensitive information (e.g., photos, contact details) posted online without consent reduces digital exposure and the risk of misuse.","Allowing sensitive personal information (e.g., photos, contact details) about oneself to remain accessible online without consent can lead to identity theft, fraud, or reputational damage. Exposed data can also provide material for phishing or other social engineering attacks, which can target the individual directly or use their information to gain access into their organization."
SB080,Verifies the legitimacy of an unknown caller,"Verifying the legitimacy of an unknown caller means an individual, when receiving an unexpected phone call, takes active steps to confirm the caller is genuine before sharing any sensitive information or complying with requests. This involves critically assessing the nature of the call (especially if it creates urgency or asks for personal data), questioning the caller to ascertain their identity and purpose, and, if any doubt exists, independently looking up an official contact number for the purported organization to initiate a call back for verification.","Vishing – deceptive phone calls from cybercriminals impersonating trusted organizations or services – is a common tactic used to steal sensitive information, authorize fraudulent payments, or gain remote access. Caller ID can be spoofed, making it unreliable for verification. Not confirming a caller’s identity risks identity theft, financial loss, or the compromise of accounts and devices"
SB081,Checks a message for signs of deception,"Checking a digital messages for signs of deception means critically assessing messages (e.g., emails, texts, instant messages) before taking action. This includes verifying the sender’s identity, inspecting links and attachments, and evaluating the tone or urgency of the message. Signs of deception may include unfamiliar addresses, unexpected requests, poor grammar, or pressure to act quickly.","Deceptive emails (used for phishing), messages (for smishing), and QR codes (for quishing) are common ways cybercriminals trick individuals into revealing sensitive data, installing malware, or authorising fraudulent payments."
SB082,Verifies a suspicious message using known contact details,"Verifying a message using known contact details means an individual, when receiving a suspicious email or other message, takes steps to confirm it is genuine before sharing sensitive information, clicking links, opening attachments, or following instructions. This includes critically assessing the communication's sender's details and content (especially if it creates urgency, or asks for personal data or login credentials), and, if any doubt exists, using known trusted contact details to contact the purported sender or organization directly for verification.","Deceptive emails (used for phishing), messages (for smishing), and QR codes (for quishing) are common ways cybercriminals trick individuals into revealing sensitive data, installing malware, or authorising fraudulent payments."
SB083,Checks a message for malicious content before sharing,"Checking a message or file for malicious content before sharing involves an individual, prior to sending, forwarding, or distributing it to others (e.g., via email, instant message, or shared drive), taking a moment to scrutinize its contents. This includes carefully examining any embedded hyperlinks to verify their true destination and apparent safety, and assessing any attachments for unexpected types, suspicious names, or if their presence is unexplained.","Unchecked digital messages or files, when shared, can act as trusted vectors for malicious links or attachments. Because recipients are less wary of items from known contacts, this can lead to successful phishing attacks or malware infections, potentially compromising colleagues, clients, or the organization itself."
SB087,Reports a suspicious message,"Reporting a suspicious message means forwarding or notifying the appropriate department (e.g., IT or Security) when a message appears unusual, unexpected, or potentially malicious. This includes emails, phone calls, texts, or other types of messages. Timely reporting allows the organization to respond quickly and limit potential damage.","Many cyber attacks begin with a suspicious message (e.g., a phishing email) designed to bypass technical security filters. If these attempts are not reported, even if unsuccessful against one individual, the organization remains unaware of the active threat, leaving others vulnerable. Reporting these suspicious communications immediately allows security teams to analyze the threat, warn other employees, and implement countermeasures, significantly reducing the risk of a successful breach."
SB089,Keeps an MFA code private,"Keeping an MFA code private means involves not sharing any one-time password (OTP) or verification code used for multi-factor authentication, whether generated by an authenticator app or received via SMS or other messaging.","MFA codes (like one-time passwords from authenticator apps or SMS texts) are designed as a private, single-use key for an essential extra layer of account security beyond just a password (or passphrase). If these codes are shared or inadvertently revealed (e.g., in phishing attempts) attackers who have already obtained a password can then bypass multi-factor authentication. This can quickly lead to full account takeover, data theft, or financial fraud."
SB091,Shares sensitive information only with an approved recipient,Sharing sensitive information only with an approved recipient means confirming that the person receiving the data is both authorized to access it and is who they claim to be. This includes verifying their identity and ensuring the information is appropriate for them to receive based on their role or clearance.,"Cybercriminals may impersonate colleagues, clients, or legitimate services to deceptively solicit sensitive information. Sharing confidential organizational information to unverified or unauthorized recipients (including personal email) can lead to data breach, loss of data, regulatory non-compliance, and reputational or financial damage to the organization."
SB094,Works only on an approved device ,"Working only on an approved device means conducting work-related activities, particularly when accessing or handling sensitive organizational data or systems, exclusively using equipment that has been explicitly sanctioned or provided by the organization – be it company-issued or a personal device formally approved under an official Bring Your Own Device (BYOD) policy.","Using unapproved devices for work, especially personal ones not meeting organizational security standards, can bypass essential protections and make sensitive data vulnerable to compromise or malware. Approved devices (whether company-issued or compliant BYOD) are configured or vetted to meet specific security requirements."
SB105,Authenticates with a security key,"Authenticating with a security key means an individual uses a dedicated physical hardware token (often connecting via USB or NFC) to complete a login process, often as a robust factor in multi-factor authentication or for passwordless sign-in, when prompted by an account or service.","Security keys offer strong protection against phishing and account compromise. Unlike codes sent by text or app, which can be intercepted or tricked out of someone, a physical security key must be present to complete login. This makes it harder for attackers to access accounts, even if passwords (or passphrases) are stolen."
SB112,Authenticates with a passkey,"Authenticating with a passkey involves using a unique digital credential, which is stored on a device (e.g., a mobile phone) or a hardware security key, to sign into an online account or application. When prompted during login, the use of the passkey is authorized via the device's unlock mechanism (e.g., a fingerprint, facial recognition, or PIN) or by interacting with their hardware security key, instead of typing a traditional password.","Passwords are a common target for cybercriminals because they can be guessed, stolen, or reused across accounts. Passkeys offer stronger protection by replacing passwords with cryptographic credentials that can’t be phished, reused, or easily intercepted. Since passkeys require access to a specific device and user verification (e.g., fingerprint), they make unauthorized access significantly more difficult."
SB113,Keeps an OTP private,"Keeping a one-time password (OTP) private means treating these typically single-use codes, whether generated by an authenticator app or received in a message, whether it was used as a sole factor or alongside a password, as confidential information. This involves never sharing an OTP with anyone, regardless of who asks or how urgent the request seems, and ensuring it's entered only into the legitimate website or application that prompted it for immediate authentication or transaction verification.","One-time passwords (OTPs), whether from authenticator apps or messages, are designed as unique, typically time-sensitive codes to securely verify an identity or authorize a transaction. Cybercriminals actively use phishing and social engineering tactics to trick individuals into revealing these codes. If an OTP is compromised and shared, it can grant unauthorized access to an account or service, leading to data theft, financial fraud, or system misuse."
SB114,Verifies the legitimacy of an unknown sender of a message,"Verifying the legitimacy of an unknown sender of a message means taking steps to confirm the sender's identity before engaging with their message. This may involve checking contact details, verifying through another channel, or seeking internal guidance when something feels suspicious.","This behavior helps prevent phishing, fraud, and impersonation attacks. Unknown senders are a common tactic used by attackers to gain trust and trick users. Verifying before responding or clicking reduces the risk of falling for social engineering threats."
SB116,Configures a browser to allow only an intentional file download,"Configuring a browser to allow only an intentional file download means changing the browser's settings to prevent files from downloading automatically when initiated by a website or link. This configuration ensures the browser always prompts the user to explicitly approve each download, often by asking where to save the file, before the file transfer begins.","Some websites may attempt to initiate automatic file downloads without clear user consent, a technique which can lead to unintentional downloads of unwanted software or even malicious files like malware through 'drive-by downloads'. Disabling the automatic download feature in a browser provides a crucial checkpoint, ensuring individuals are always prompted before any file is saved to their device. This allows a moment to verify the download's legitimacy and necessity, significantly reducing the risk of inadvertently acquiring harmful content."
SB117,Verifies recipient before sending a message,"Verifies recipient before sending a message means prior to transmitting any digital message (e.g., an email, instant message), consciously checking all recipient addresses (e.g., in the 'To', 'Cc', and 'Bcc' fields of an email, or the contact list for a message) to ensure that each listed recipient is correct, intended, and appropriate for the information being shared. It also involves paying attention when using 'reply all', selecting from auto-completed addresses, or sending to groups.","Misdirecting a digital message, often due to a mistyped address, an auto-complete error, or unintended use of 'reply all', can instantly send sensitive information, confidential attachments, or private discussions to the wrong individuals. Such disclosures can lead to data breach, privacy violation, regulatory non-compliance, impacting both the individual and their organization."
SB119,Scans only a legitimate QR code ,"Scanning only a legitimate QR code means assessing the trustworthiness of the source where a QR code is displayed, before using a device's camera to read it. This involves checking that a physical source (e.g., a poster, product packaging, or menu) doesn't appear tampered with, or that a digital source (e.g., a website or an email) is legitimate and from the expected sender before proceeding with the scan.","Cybercriminals use malicious QR codes in attacks known as ""quishing"" to instantly redirect a user's device to a phishing website, authorize a fraudulent payment, or download malware. Attackers can easily place fake QR code stickers over legitimate ones in public spaces or send them in deceptive emails to appear trustworthy. Because the destination is hidden, verifying that a QR code comes from a legitimate, untampered source before scanning is a critical defense to protect devices, credentials, and financial information"
SB120,Deactivates or deletes an unneeded application,"Deactivating or deleting an unneeded application means an individual removes or disables software from their device (e.g., computer) when it is no longer required for work, is not approved, or is obsolete. This typically involves using the operating system's standard removal procedures to uninstall the application, remove its files and, revoke its associated permissions (where applicable).","Unneeded applications, particularly if outdated, can harbor unpatched security vulnerabilities that cybercriminals may exploit to introduce malware or gain unauthorized access to a device and its data. Deactivating or deleting unused or unapproved software reduces a device's attack surface, minimizes these security risks, and helps maintain overall system integrity and performance."
SB121,Uses a work device only for a work purpose,"Using a work device for a work purpose means exclusively utilizing organization-issued equipment (e.g., company) for activities that directly relate to professional tasks, responsibilities, or accessing data and services approved by the organization. This includes not using work devices for extensive unrelated personal activities (e.g., installing unapproved personal software).","Using work devices for unapproved personal activities (e.g., installing unauthorized software) increases their exposure to malware and other cyber threats, potentially compromising sensitive company data stored on or accessed by the device. Restricting work device use to approved purposes is therefore crucial to minimize these vulnerabilities, protect the organization's IT systems, and maintain data security."
SB122,Uses sensitive work information only for a work purpose ,"Using sensitive work information only for a work purpose means accessing, processing, or sharing confidential organizational data (e.g., client details, intellectual property) exclusively for activities that directly relate to professional tasks and are authorized by the organization. This includes not using such sensitive information for personal gain, unrelated side projects, or any non-official activities.","Using sensitive work information for unauthorized or personal purposes significantly increases the risk of its accidental leakage, misuse, or intentional theft, potentially leading to severe data breaches."
SB123,Captures an image or video of sensitive information only when approved,"Capturing an image or video of sensitive information only when approved means creating a visual record of confidential data (e.g., from a screen display or physical document) only when authorized by the organization.","Creating visual copies (e.g., screenshots, recordings) of sensitive information generates new data assets that, if not properly managed, can increase security risks. Unapproved or uncontrolled captures can lead to these sensitive copies being lost, inappropriately shared, stored insecurely, or retained longer than necessary, potentially resulting in data breach, privacy violation, or non-compliance with data protection regulations."
SB124,Modifies information only when approved ,"Modifying information only when approved means making alterations (e.g., edits, deletions, or additions) to organizational data only after authorization or defined role-based responsibility to do so, and strictly following any established change procedures.","Unapproved or erroneous changes to organizational information can compromise its security and integrity, potentially leading to data breaches, corruption of critical data, operational failures, or significant compliance violations and financial penalties."
SB125,Opens a file only with a legitimate filename extension,"Opening a file that has a legitimate filename extension involves inspecting that the extension is recognizable, matches the expected file type (e.g., .pdf for a document, not .exe), and shows no signs of deceptive manipulation, such as double extensions (e.g., report.txt.exe) before launching any file (especially those from external sources like downloads or email attachments).","Cybercriminals frequently disguise malicious executable files (malware) as common documents, images, or other seemingly harmless file types by manipulating filename extensions or using misleading icons. They often use tactics like double extensions (e.g., invoice.pdf.exe appearing as invoice.pdf if some settings hide known types) to trick individuals into running harmful programs. Opening a file without first verifying its true extension can lead to immediate malware infection, system compromise, or data theft."
SB126,Verifies the connection to a website is secure,"Verifying a website's connection is secure involves checking the web browser's address bar for indicators of an encrypted connection, primarily by looking for a padlock icon and confirming the URL begins with https:// rather than http://. If an unencrypted http:// version of a site is encountered, particularly for sensitive interactions, efforts should be made to access or switch to an https:// version if one is available.","Websites using unsecure http:// connections may transmit data, including any passwords or personal details entered, as plain text between your browser and the server. This makes the information highly vulnerable to interception and theft by attackers, especially when using public or untrusted Wi-Fi networks. Ensuring a website uses a secure https:// connection means the data is encrypted in transit, protecting its confidentiality and preventing attackers from easily reading or modifying it."
SB127,Disables autorun to prevent unapproved file execution,"Disabling autorun to prevent unapproved file execution means configuring operating system or specific application settings to stop programs or files from launching automatically when new media (e.g., USB drives, memory cards) is inserted, requiring explicit user initiation instead.","Attackers can use autorun features (automatically executing files when connecting removable media) to make malicious software run without any direct user action or scrutiny, immediately compromising a device, leading to malware infections."
SB128,Connects only an approved device to a network,"Connecting an approved device to a network means ensuring that any equipment linked to an organizational network (e.g., the corporate LAN, Wi-Fi, or VPN) has been authorized or provided by the organization for such access. This typically involves using only company-issued devices or personal devices that are formally registered and comply with all security requirements under an approved Bring Your Own Device (BYOD) policy.","Unapproved or insecure devices connected to an organizational network can introduce significant threats, potentially bypassing established security controls. Such devices might harbor malware, lack critical security updates, or be misconfigured, providing an entry point for attackers to access internal systems, steal sensitive data, or disrupt operations."
SB129,Enables remote access to a device only when approved,"Enabling remote access to a device when approved means permitting work-related devices to be viewed or controlled from another location only after verifying that the request is legitimate, the individual or service requesting access is explicitly authorized by the organization, and that an organizationally sanctioned and secure remote access tool or method will be used. This involves declining any unsolicited remote access requests or those that propose using unapproved software.","Allowing unapproved or unsolicited remote access to a work device can grant attackers or unauthorized individuals complete control, potentially leading to sensitive data theft, malware installation, system compromise, or use of the device to launch further attacks within the organization."
